id,host_id,neighbourhood_group,neighbourhood,room_type,latitude,longitude,price,price_capped,price_log10,minimum_nights,minimum_nights_capped,number_of_reviews,number_of_reviews_ltm,reviews_per_month,calculated_host_listings_count,availability_365,last_review,license
6624,15016,Isole,Santa Croce,Entire home/apt,45.43977,12.32736,294.0,294.0,2.4683473304121573,4,4,90,2,0.53,2,343,2025-07-03,IT027042C2R5QEM2Z5
12074,15016,Isole,San Polo,Entire home/apt,45.43853,12.3297,205.0,205.0,2.311753861055754,4,4,202,0,1.08,2,313,2024-06-01,IT027042C2HFAFX7HB
44527,120215,Isole,Cannaregio,Entire home/apt,45.44569,12.32902,372.0,372.0,2.5705429398818973,2,2,150,8,0.86,2,290,2025-06-10,IT027042B4GR0PSZS4
47383,214390,Isole,San Polo,Hotel room,45.43793,12.33246,122.0,122.0,2.0863598306747484,2,2,429,30,2.35,4,323,2025-08-13,IT027042B4D3D4AUUS
49656,226598,Isole,Dorsoduro,Entire home/apt,45.43549,12.32612,150.0,150.0,2.1760912590556813,3,3,140,15,0.89,2,287,2025-08-27,IT027042C2L6NZYNJR
60304,290452,Isole,Cannaregio,Private room,45.44453,12.333,170.0,170.0,2.230448921378274,1,1,160,0,0.93,2,152,2023-05-06,IT027042B4JG3TJH56
61714,289023,Isole,Giudecca,Private room,45.42708,12.31823,129.0,129.0,2.110589710299249,2,2,481,33,2.72,2,241,2025-08-22,IT027042C1NT8RRIFS
69877,351965,Isole,Dorsoduro,Private room,45.4338,12.32527,158.0,158.0,2.1986570869544226,2,2,6,0,0.04,3,304,2017-05-11,IT027042B4XVN5TFC6
71735,368293,Isole,San Marco,Entire home/apt,45.43367,12.33639,166.0,166.0,2.220108088040055,3,3,217,22,1.25,3,261,2025-07-27,IT027042C2LG7GAX8J
71874,369642,Isole,Santa Croce,Private room,45.44204,12.32694,82.0,82.0,1.9138138523837167,1,1,154,31,0.95,2,265,2025-08-26,IT027042B40Z6IVYGS
72740,377929,Terraferma,Favaro,Entire home/apt,45.50793,12.28336,92.0,92.0,1.9637878273455553,3,3,445,28,2.55,5,34,2025-07-27,IT027042B4I8XOSCJH
74042,9609304,Isole,Castello,Entire home/apt,45.43369,12.35051,116.0,116.0,2.0644579892269186,3,3,534,7,3.08,3,30,2025-08-22,IT027042C21DFDGOQF
74272,390175,Isole,Castello,Entire home/apt,45.43331,12.35038,97.0,97.0,1.9867717342662448,3,3,382,35,2.18,2,262,2025-09-07,IT027042B48PUBNHNE
75376,399883,Isole,San Marco,Entire home/apt,45.43517,12.33554,167.0,167.0,2.2227164711475833,3,3,215,9,1.27,4,316,2025-07-01,IT027042C2ASCXYP2A
75994,399883,Isole,San Marco,Entire home/apt,45.43746,12.337,183.0,183.0,2.2624510897304293,3,3,188,15,1.1,4,297,2025-08-30,IT027042C2B4V69NTJ
77188,390175,Isole,Castello,Entire home/apt,45.43300234450528,12.348828735234395,108.0,108.0,2.03342375548695,3,3,396,23,2.3,2,255,2025-08-24,IT027042B4AOB4F4ZO
80403,434492,Isole,Dorsoduro,Entire home/apt,45.4342,12.31943,142.0,142.0,2.1522883443830563,3,3,69,9,0.4,1,257,2025-09-03,IT027042C2W9WLS6KL
83610,434231,Isole,Castello,Entire home/apt,45.43442,12.34854,126.0,126.0,2.100370545117563,31,31,9,0,0.06,1,195,2024-09-05,
92159,289023,Isole,Giudecca,Private room,45.42703,12.31827,115.0,115.0,2.060697840353612,2,2,461,24,2.66,2,252,2025-07-28,IT027042C1NT8RRIFS
129278,485439,Isole,Lido,Entire home/apt,45.40782,12.36728,300.0,300.0,2.4771212547196626,14,14,8,0,0.05,1,68,2021-08-17,IT027042B4QKHFROYV
130605,642936,Isole,Santa Croce,Private room,45.44008478520303,12.322226455906147,89.0,89.0,1.9493900066449128,3,3,463,36,2.71,2,317,2025-09-05,IT027042B49J4K5SRT
139786,669047,Isole,San Marco,Entire home/apt,45.4349,12.32989,270.0,270.0,2.4313637641589874,1,1,54,2,0.33,81,279,2025-06-09,IT027042C2SFGV4HX5
139802,669047,Isole,San Marco,Entire home/apt,45.43467,12.32831,323.0,323.0,2.509202522331103,1,1,74,7,0.48,81,276,2025-07-31,IT027042C2BWCQVU8S
142085,1878243,Isole,Cannaregio,Entire home/apt,45.44242,12.33955,125.0,125.0,2.0969100130080562,5,5,510,38,2.97,3,46,2025-07-24,IT027042C2TFCZAQLV
145324,703872,Isole,Cannaregio,Private room,45.44211,12.33928,93.0,93.0,1.968482948553935,1,1,558,49,3.24,3,1,2025-08-17,IT027042C2256VY8PB
145631,704911,Terraferma,Villaggio San Marco,Private room,45.4832,12.2586,74.0,74.0,1.8692317197309762,1,1,744,50,4.31,2,360,2025-08-20,IT027042C2GNPKT4HU
